"c","n","e"
13,87,0
2,55,43
1,34,65
43,54,3
20,47,33
0,81,19
65,34,1
1,69,30
2,53,45
79,21,0
1,74,25
3,76,21
10,90,0
38,62,0
2,19,79
1,94,5
2,15,83
4,37,59
84,16,0
18,75,7
6,81,13
1,46,53
3,75,22
4,19,77
7,92,1
5,94,1
6,18,76
98,2,0
1,4,95
17,59,24
91,9,0
5,95,0
34,62,4
38,47,15
53,45,2
3,56,41
5,95,0
16,75,9
36,62,2
0,45,55
0,19,81
0,90,10
87,12,1
1,1,98
2,6,92
2,76,22
5,95,0
0,84,16
3,24,73
1,60,39
77,21,2
14,11,75
46,45,9
9,2,89
57,43,0
1,84,15
0,85,15
29,71,0
15,84,1
1,68,31
0,13,87
1,89,10
0,93,7
12,26,62
30,69,1
10,78,12
1,32,67
11,31,58
11,26,63
4,30,66
3,36,61
2,54,44
7,91,2
7,2,91
1,18,81
0,1,99
12,85,3
4,84,12
1,60,39
11,65,24
0,6,94
5,94,1
5,64,31
2,70,28
14,72,14
0,90,10
0,3,97
6,82,12
13,82,5
1,64,35
15,68,17
1,53,46
48,48,4
2,96,2
16,64,20
8,85,7
41,59,0
16,12,72
1,20,79
1,88,11
12,58,30
12,83,5
1,81,18
35,65,0
0,62,38
78,22,0
1,87,12
2,49,49
75,25,0
7,52,41
22,77,1
1,82,17
1,21,78
55,45,0
30,68,2
5,83,12
47,52,1
3,85,12
2,4,94
1,24,75
89,11,0
41,58,1
81,17,2
1,6,93
3,93,4
2,26,72
3,10,87
7,24,69
47,53,0
12,87,1
3,78,19
1,35,64
96,4,0
19,81,0
2,68,30
18,80,2
1,67,32
4,81,15
13,80,7
2,54,44
2,45,53
8,90,2
42,57,1
1,67,32
48,52,0
1,75,24
11,87,2
5,42,53
74,26,0
8,91,1
89,11,0
60,40,0
0,0,100
8,84,8
2,15,83
5,24,71
93,7,0
2,57,41
18,78,4
1,77,22
0,36,64
1,9,90
4,26,70
95,5,0
1,72,27
9,81,10
2,50,48
33,46,21
100,0,0
1,86,13
0,15,85
7,87,6
1,7,92
1,79,20
1,82,17
76,24,0
15,83,2
10,65,25
4,86,10
63,37,0
3,88,9
41,57,2
0,47,53
31,69,0
2,94,4
0,93,7
40,60,0
59,33,8
78,9,13
81,19,0
11,63,26
29,55,16
1,70,29
5,74,21
73,27,0
3,28,69
26,73,1
2,91,7
1,7,92
13,51,36
14,86,0
63,37,0
1,30,69
10,83,7
63,36,1
0,1,99
5,51,44
3,83,14
2,87,11
6,46,48
94,5,1
11,89,0
92,6,2
0,17,83
3,78,19
89,11,0
2,83,15
87,13,0
3,94,3
0,63,37
25,74,1
11,41,48
1,98,1
92,5,3
36,61,3
36,64,0
2,48,50
0,0,100
85,15,0
0,55,45
10,45,45
63,35,2
14,64,22
28,65,7
3,53,44
0,11,89
26,74,0
87,11,2
25,75,0
0,63,37
0,84,16
0,73,27
0,37,63
2,29,69
1,0,99
1,77,22
2,6,92
1,42,57
13,48,39
1,28,71
8,22,70
52,45,3
56,22,22
37,58,5
2,84,14
37,55,8
77,22,1
2,1,97
9,83,8
2,89,9
2,78,20
4,42,54
0,62,38
9,85,6
4,76,20
0,89,11
30,69,1
2,28,70
88,5,7
1,83,16
79,15,6
74,3,23
6,67,27
29,18,53
0,0,100
46,53,1
1,52,47
78,22,0
20,78,2
79,21,0
93,7,0
8,70,22
92,8,0
59,27,14
1,2,97
1,94,5
1,18,81
91,9,0
17,81,2
5,20,75
47,35,18
0,77,23
66,34,0
0,56,44
53,47,0
1,35,64
7,90,3
44,31,25
1,82,17
1,43,56
1,33,66
0,80,20
1,7,92
8,80,12
11,58,31
33,67,0
7,90,3
2,69,29
72,25,3
1,4,95
14,85,1
95,4,1
59,40,1
16,84,0
2,88,10
29,26,45
3,43,54
0,0,100
99,1,0
77,23,0
1,32,67
22,73,5
2,36,62
64,36,0
5,45,50
4,68,28
8,86,6
24,73,3
1,60,39
1,80,19
84,16,0
0,94,6
6,74,20
32,67,1
0,96,4
1,68,31
0,3,97
1,46,53
27,68,5
1,1,98
1,50,49
5,89,6
0,64,36
9,83,8
17,80,3
98,0,2
5,50,45
1,88,11
3,52,45
0,36,64
43,42,15
67,33,0
4,81,15
67,33,0
2,53,45
0,55,45
88,11,1
5,78,17
8,70,22
17,80,3
6,89,5
1,58,41
0,9,91
91,7,2
1,29,70
1,21,78
1,84,15
1,4,95
14,81,5
23,77,0
1,80,19
5,94,1
14,27,59
0,69,31
23,11,66
0,30,70
13,87,0
5,91,4
97,1,2
2,4,94
0,51,49
8,77,15
1,75,24
51,46,3
9,81,10
2,14,84
7,5,88
69,30,1
0,94,6
0,3,97
20,77,3
1,24,75
2,19,79
79,20,1
11,59,30
6,85,9
2,33,65
13,82,5
56,43,1
1,15,84
1,77,22
23,31,46
0,3,97
1,37,62
65,35,0
24,58,18
9,83,8
2,73,25
1,83,16
0,37,63
33,67,0
13,86,1
10,52,38
5,95,0
65,35,0
50,50,0
69,30,1
0,2,98
81,19,0
0,85,15
0,99,1
72,25,3
1,48,51
57,43,0
84,13,3
19,81,0
14,86,0
4,84,12
21,79,0
0,90,10
83,17,0
20,56,24
14,86,0
0,56,44
89,11,0
86,14,0
3,97,0
17,81,2
7,58,35
86,13,1
2,83,15
4,94,2
0,93,7
16,84,0
0,77,23
2,30,68
12,86,2
3,71,26
60,28,12
2,70,28
0,1,99
37,63,0
2,65,33
6,79,15
99,1,0
0,51,49
82,18,0
77,23,0
0,90,10
0,75,25
5,66,29
98,2,0
0,29,71
17,64,19
39,60,1
0,27,73
2,65,33
0,1,99
0,65,35
0,28,72
0,61,39
1,22,77
56,36,8
0,90,10
47,53,0
65,1,34
4,62,34
0,23,77
85,14,1
3,87,10
77,22,1
13,87,0
6,46,48
13,86,1
12,88,0
40,60,0
43,56,1
7,10,83
2,27,71
82,15,3
4,94,2
99,1,0
34,64,2
0,89,11
25,63,12
32,66,2
0,10,90
83,16,1
2,36,62
0,1,99
0,44,56
0,77,23
1,99,0
0,27,73
2,84,14
3,75,22
1,4,95
18,82,0
2,76,22
0,15,85
2,2,96
2,50,48
1,72,27
3,96,1
4,73,23
10,80,10
38,57,5
1,79,20
80,20,0
19,79,2
1,40,59
3,95,2
0,82,18
17,82,1
1,89,10
0,71,29
0,94,6
1,90,9
0,15,85
9,90,1
2,49,49
9,53,38
0,1,99
12,86,2
41,21,38
0,12,88
2,92,6
73,27,0
10,90,0
0,67,33
0,2,98
0,45,55
63,34,3
1,17,82
42,58,0
0,12,88
70,2,28
75,25,0
7,82,11
7,70,23
0,53,47
78,20,2
4,90,6
52,48,0
37,49,14
3,56,41
65,34,1
71,22,7
33,67,0
3,80,17
44,56,0
6,93,1
69,31,0
0,5,95
2,81,17
91,9,0
13,85,2
1,70,29
97,3,0
2,38,60
48,47,5
0,1,99
2,60,38
3,92,5
34,66,0
6,40,54
20,66,14
0,63,37
0,86,14
0,92,8
61,39,0
2,54,44
2,79,19
18,41,41
2,46,52
67,15,18
6,81,13
1,80,19
7,93,0
13,87,0
1,54,45
50,50,0
2,45,53
60,35,5
94,1,5
41,54,5
3,22,75
12,87,1
0,38,62
0,89,11
1,15,84
0,96,4
2,16,82
1,88,11
1,24,75
0,38,62
0,95,5
0,94,6
0,99,1
1,6,93
0,1,99
19,21,60
60,40,0
23,58,19
0,67,33
11,87,2
19,16,65
84,15,1
3,81,16
1,2,97
2,11,87
16,80,4
10,71,19
1,92,7
0,91,9
49,43,8
0,24,76
77,3,20
0,5,95
0,15,85
0,45,55
0,83,17
32,68,0
18,81,1
0,1,99
69,28,3
6,35,59
3,73,24
4,94,2
24,76,0
2,89,9
0,100,0
5,11,84
0,85,15
0,39,61
0,52,48
21,3,76
8,32,60
18,2,80
65,28,7
2,75,23
25,73,2
8,68,24
1,28,71
1,85,14
5,30,65
82,16,2
27,73,0
0,53,47
0,69,31
1,74,25
26,74,0
1,53,46
82,18,0
3,64,33
43,55,2
0,35,65
20,80,0
15,56,29
7,15,78
2,9,89
16,75,9
0,3,97
0,46,54
1,16,83
0,4,96
9,23,68
33,67,0
5,93,2
8,91,1
1,50,49
41,59,0
6,46,48
78,21,1
1,94,5
60,38,2
2,44,54
1,33,66
2,87,11
4,72,24
2,98,0
1,22,77
90,9,1
14,81,5
0,12,88
3,88,9
1,71,28
60,40,0
2,29,69
2,2,96
93,6,1
0,54,46
27,73,0
23,77,0
9,88,3
1,27,72
39,60,1
1,6,93
0,92,8
3,79,18
2,28,70
11,12,77
10,88,2
72,28,0
3,62,35
0,67,33
0,55,45
29,69,2
0,21,79
3,56,41
0,88,12
4,75,21
0,10,90
0,7,93
0,78,22
90,10,0
0,90,10
0,83,17
3,52,45
3,5,92
12,17,71
1,73,26
0,29,71
7,27,66
25,75,0
53,47,0
1,56,43
1,2,97
0,62,38
0,0,100
6,80,14
0,94,6
5,93,2
5,95,0
3,86,11
33,18,49
90,3,7
86,6,8
7,38,55
6,45,49
1,0,99
86,13,1
45,41,14
1,82,17
64,36,0
78,17,5
0,92,8
0,6,94
73,26,1
9,45,46
1,73,26
49,51,0
71,29,0
4,88,8
9,89,2
69,30,1
70,30,0
1,89,10
6,63,31
67,33,0
0,4,96
0,50,50
51,49,0
3,96,1
6,5,89
4,96,0
28,70,2
0,59,41
40,40,20
12,88,0
3,5,92
100,0,0
26,71,3
83,16,1
21,78,1
88,11,1
3,81,16
0,4,96
4,16,80
89,11,0
4,96,0
95,5,0
2,50,48
0,97,3
11,44,45
2,94,4
0,15,85
4,96,0
25,75,0
1,63,36
2,16,82
3,22,75
27,70,3
4,71,25
47,51,2
1,4,95
1,82,17
27,10,63
0,76,24
8,23,69
0,83,17
1,63,36
2,0,98
3,94,3
76,24,0
44,56,0
96,4,0
15,84,1
2,61,37
24,32,44
62,38,0
0,79,21
53,47,0
8,22,70
0,10,90
2,65,33
0,85,15
2,83,15
4,88,8
0,97,3
13,22,65
0,0,100
1,15,84
62,37,1
1,85,14
2,89,9
31,69,0
2,97,1
1,74,25
13,70,17
89,11,0
36,64,0
85,14,1
4,87,9
0,17,83
1,11,88
1,27,72
4,73,23
26,16,58
1,83,16
2,95,3
69,1,30
5,59,36
0,94,6
84,14,2
0,56,44
1,1,98
1,65,34
52,47,1
61,6,33
0,64,36
1,4,95
0,4,96
54,45,1
94,5,1
0,44,56
0,11,89
0,40,60
40,10,50
10,5,85
49,45,6
9,5,86
2,34,64
1,84,15
0,96,4
31,17,52
0,36,64
96,4,0
1,34,65
7,72,21
74,23,3
1,0,99
0,13,87
31,68,1
0,95,5
2,40,58
0,23,77
86,14,0
8,45,47
2,51,47
52,48,0
2,97,1
3,82,15
76,24,0
9,90,1
3,66,31
90,10,0
91,6,3
25,75,0
70,28,2
90,10,0
14,86,0
37,60,3
7,87,6
2,1,97
84,15,1
29,69,2
22,65,13
1,63,36
1,75,24
0,40,60
0,71,29
92,4,4
0,25,75
51,13,36
1,96,3
0,76,24
0,2,98
1,0,99
75,25,0
3,38,59
10,89,1
42,16,42
23,58,19
96,4,0
8,7,85
3,13,84
7,91,2
0,17,83
20,80,0
17,77,6
1,29,70
20,68,12
0,55,45
5,66,29
90,9,1
37,57,6
42,14,44
32,68,0
1,96,3
36,64,0
1,36,63
4,93,3
29,66,5
1,77,22
2,76,22
46,53,1
14,78,8
0,6,94
1,75,24
5,6,89
1,95,4
2,97,1
0,98,2
0,72,28
18,13,69
9,23,68
22,20,58
0,31,69
75,22,3
0,3,97
1,78,21
1,17,82
0,9,91
1,3,96
2,69,29
1,16,83
74,26,0
0,2,98
0,55,45
11,35,54
0,96,4
63,35,2
11,36,53
37,63,0
89,9,2
0,4,96
6,94,0
91,9,0
28,72,0
2,7,91
0,55,45
3,58,39
10,85,5
49,5,46
3,50,47
7,88,5
1,73,26
1,39,60
2,13,85
4,79,17
37,63,0
41,45,14
12,86,2
1,76,23
0,71,29
0,46,54
1,44,55
1,77,22
84,16,0
53,35,12
0,20,80
0,1,99
3,7,90
2,94,4
0,96,4
0,90,10
1,84,15
48,52,0
0,63,37
1,88,11
2,76,22
5,72,23
6,90,4
2,25,73
92,8,0
3,19,78
4,76,20
0,78,22
0,78,22
4,4,92
59,41,0
9,91,0
1,47,52
0,20,80
0,88,12
0,83,17
0,87,13
94,6,0
4,7,89
0,4,96
0,97,3
0,68,32
1,97,2
5,53,42
0,60,40
0,81,19
3,79,18
0,7,93
55,40,5
2,86,12
1,88,11
2,28,70
0,1,99
54,46,0
59,31,10
1,80,19
37,31,32
59,39,2
1,55,44
1,86,13
0,44,56
0,5,95
0,90,10
90,10,0
2,16,82
80,15,5
0,99,1
0,37,63
68,24,8
0,89,11
1,73,26
2,19,79
2,38,60
0,27,73
61,38,1
0,13,87
1,76,23
77,22,1
9,89,2
37,54,9
1,87,12
1,17,82
1,14,85
1,94,5
1,79,20
15,83,2
1,92,7
74,24,2
1,4,95
3,9,88
54,46,0
2,56,42
39,61,0
1,90,9
1,47,52
1,12,87
3,4,93
13,87,0
89,8,3
1,55,44
31,69,0
52,46,2
1,56,43
5,36,59
25,75,0
0,92,8
5,19,76
0,0,100
54,43,3
86,14,0
10,90,0
6,6,88
29,71,0
1,88,11
2,1,97
1,7,92
1,89,10
64,36,0
1,59,40
0,86,14
88,10,2
61,39,0
1,82,17
17,81,2
93,6,1
1,59,40
6,87,7
88,10,2
0,4,96
1,32,67
9,88,3
0,85,15
0,26,74
79,21,0
4,78,18
21,79,0
0,94,6
3,38,59
0,8,92
0,91,9
16,48,36
96,4,0
62,34,4
10,43,47
14,57,29
87,12,1
0,87,13
6,89,5
54,45,1
34,31,35
24,75,1
36,52,12
0,42,58
7,47,46
31,56,13
72,26,2
69,30,1
16,83,1
0,34,66
4,96,0
1,47,52
74,26,0
2,47,51
79,20,1
26,65,9
16,83,1
97,3,0
1,72,27
76,10,14
75,25,0
88,10,2
3,64,33
1,91,8
5,88,7
53,47,0
1,96,3
2,57,41
70,29,1
1,81,18
94,5,1
8,20,72
1,89,10
1,9,90
1,0,99
0,26,74
12,28,60
0,81,19
46,51,3
0,33,67
92,6,2
0,6,94
2,94,4
0,5,95
0,67,33
0,13,87
17,82,1
48,4,48
0,54,46
37,13,50
0,25,75
21,75,4
0,37,63
63,33,4
0,0,100
1,0,99
0,85,15
1,0,99
2,6,92
19,80,1
1,94,5
10,83,7
0,65,35
76,6,18
84,16,0
12,87,1
98,1,1
15,85,0
26,74,0
0,84,16
10,83,7
0,50,50
6,84,10
1,91,8
16,82,2
8,90,2
0,2,98
0,22,78
57,43,0
2,5,93
0,39,61
1,4,95
0,93,7
40,60,0
16,54,30
5,84,11
29,63,8
1,59,40
1,41,58
2,79,19
65,35,0
63,37,0
8,50,42
0,5,95
0,41,59
49,51,0
1,63,36
1,81,18
27,73,0
0,23,77
52,48,0
2,10,88
13,76,11
93,7,0
0,46,54
4,96,0
10,48,42
71,24,5
0,20,80
3,16,81
1,78,21
1,68,31
53,47,0
1,99,0
3,72,25
3,83,14
0,76,24
11,65,24
0,88,12
28,71,1
0,6,94
65,6,29
48,41,11
20,32,48
5,60,35
0,52,48
6,87,7
82,15,3
1,75,24
10,90,0
73,27,0
0,93,7
33,67,0
0,89,11
10,17,73
1,87,12
86,14,0
0,22,78
0,66,34
2,84,14
2,35,63
5,82,13
87,13,0
14,76,10
