"","","","","","","","","","","Freq"
0,0,0,0,0,0,1,0,0,51,1
0,0,0,0,0,0,1,0,0,52,2
0,0,0,0,0,0,1,0,0,53,1
0,0,0,0,0,0,1,0,0,58,1
0,0,0,0,0,0,1,0,1,49,2
0,0,0,0,0,0,1,0,46,3,1
0,0,0,0,0,0,1,0,48,1,1
0,0,0,0,0,0,1,0,49,0,8
0,0,0,0,0,0,1,0,49,1,1
0,0,0,0,0,0,1,0,50,0,4
0,0,0,0,0,0,1,0,50,1,2
0,0,0,0,0,0,1,0,51,0,1
0,0,0,0,0,0,1,0,52,0,1
0,0,0,0,0,0,1,0,53,0,1
0,0,0,0,0,0,1,1,0,48,1
0,0,0,0,0,0,1,1,0,52,1
0,0,0,0,0,0,1,1,49,0,1
0,0,0,0,0,0,1,49,0,0,3
0,0,0,0,0,0,1,50,0,0,5
0,0,0,0,0,0,1,51,0,0,1
0,0,0,0,0,0,1,52,0,0,4
0,0,0,0,0,0,2,0,51,0,2
0,0,0,0,0,0,48,0,2,0,1
0,0,0,0,0,0,48,1,0,1,1
0,0,0,0,0,0,49,0,0,1,3
0,0,0,0,0,0,49,0,1,0,3
0,0,0,0,0,0,49,1,0,0,6
0,0,0,0,0,0,49,1,0,1,1
0,0,0,0,0,0,49,2,0,0,1
0,0,0,0,0,0,50,0,0,0,128
0,0,0,0,0,0,50,0,0,1,3
0,0,0,0,0,0,50,0,1,0,6
0,0,0,0,0,0,50,1,0,0,8
0,0,0,0,0,0,50,1,0,1,2
0,0,0,0,0,0,51,0,0,0,131
0,0,0,0,0,0,51,0,0,1,3
0,0,0,0,0,0,51,0,1,0,5
0,0,0,0,0,0,51,1,0,0,2
0,0,0,0,0,0,52,0,0,0,80
0,0,0,0,0,0,52,0,0,1,1
0,0,0,0,0,0,53,0,0,0,41
0,0,0,0,0,0,53,0,1,0,1
0,0,0,0,0,0,54,0,0,0,9
0,0,0,0,0,0,55,0,0,0,3
0,0,0,0,0,0,57,0,0,0,2
0,0,0,0,0,0,57,1,0,0,1
0,0,0,0,0,0,58,0,0,0,2
0,0,0,0,0,1,0,0,0,49,4
0,0,0,0,0,1,0,0,0,50,6
0,0,0,0,0,1,0,0,0,51,5
0,0,0,0,0,1,0,0,0,52,2
0,0,0,0,0,1,0,0,0,57,2
0,0,0,0,0,1,0,0,4,46,1
0,0,0,0,0,1,0,0,49,0,1
0,0,0,0,0,1,0,0,50,0,6
0,0,0,0,0,1,0,0,50,1,1
0,0,0,0,0,1,0,0,51,0,3
0,0,0,0,0,1,0,1,0,49,1
0,0,0,0,0,1,0,48,0,1,3
0,0,0,0,0,1,0,49,0,0,11
0,0,0,0,0,1,0,49,1,0,2
0,0,0,0,0,1,0,50,0,0,15
0,0,0,0,0,1,0,51,0,0,8
0,0,0,0,0,1,0,52,0,0,3
0,0,0,0,0,1,0,55,0,0,1
0,0,0,0,0,1,0,56,0,0,1
0,0,0,0,0,1,0,58,0,0,1
0,0,0,0,0,1,1,0,0,48,1
0,0,0,0,0,1,1,0,45,5,1
0,0,0,0,0,1,1,0,49,1,1
0,0,0,0,0,1,1,48,0,0,1
0,0,0,0,0,1,48,0,0,1,1
0,0,0,0,0,1,49,0,0,0,13
0,0,0,0,0,1,50,0,0,0,7
0,0,0,0,0,1,50,0,0,1,1
0,0,0,0,0,1,51,0,0,0,10
0,0,0,0,0,1,51,0,1,0,1
0,0,0,0,0,1,51,1,0,0,2
0,0,0,0,0,1,52,0,0,0,9
0,0,0,0,0,1,54,0,0,0,1
0,0,0,0,0,1,54,0,0,1,1
0,0,0,0,0,1,55,0,0,0,1
0,0,0,0,0,1,56,0,0,0,1
0,0,0,0,0,10,0,41,0,0,1
0,0,0,0,0,15,0,35,0,0,1
0,0,0,0,0,2,0,0,0,53,1
0,0,0,0,0,2,0,0,48,0,1
0,0,0,0,0,2,0,48,0,0,3
0,0,0,0,0,2,0,49,0,0,4
0,0,0,0,0,2,0,51,0,0,1
0,0,0,0,0,2,48,0,0,0,1
0,0,0,0,0,2,49,0,0,0,1
0,0,0,0,0,3,0,47,0,0,1
0,0,0,0,0,3,47,0,0,1,1
0,0,0,0,0,4,0,47,0,0,2
0,0,0,0,0,45,0,8,0,0,1
0,0,0,0,0,47,1,2,0,0,1
0,0,0,0,0,48,1,0,1,0,1
0,0,0,0,0,48,1,1,0,0,1
0,0,0,0,0,48,2,0,0,0,1
0,0,0,0,0,49,0,0,0,1,4
0,0,0,0,0,49,0,0,1,0,6
0,0,0,0,0,49,0,0,1,1,1
0,0,0,0,0,49,0,0,2,0,1
0,0,0,0,0,49,0,1,0,0,13
0,0,0,0,0,49,1,0,0,0,7
0,0,0,0,0,49,1,1,0,0,1
0,0,0,0,0,49,2,0,0,0,1
0,0,0,0,0,5,47,0,0,0,1
0,0,0,0,0,5,48,0,0,0,1
0,0,0,0,0,50,0,0,0,0,88
0,0,0,0,0,50,0,0,0,1,1
0,0,0,0,0,50,0,0,1,0,4
0,0,0,0,0,50,0,0,1,1,1
0,0,0,0,0,50,0,1,0,0,11
0,0,0,0,0,50,1,0,0,0,7
0,0,0,0,0,50,1,1,0,0,2
0,0,0,0,0,50,2,0,0,0,1
0,0,0,0,0,51,0,0,0,0,119
0,0,0,0,0,51,0,0,0,1,2
0,0,0,0,0,51,0,0,1,0,5
0,0,0,0,0,51,0,1,0,0,6
0,0,0,0,0,51,1,0,0,0,5
0,0,0,0,0,51,2,0,0,0,1
0,0,0,0,0,52,0,0,0,0,65
0,0,0,0,0,52,0,0,0,1,1
0,0,0,0,0,52,0,0,1,0,1
0,0,0,0,0,52,0,1,0,0,1
0,0,0,0,0,52,1,0,0,0,2
0,0,0,0,0,53,0,0,0,0,36
0,0,0,0,0,53,0,0,1,0,3
0,0,0,0,0,53,1,0,0,0,1
0,0,0,0,0,54,0,0,0,0,19
0,0,0,0,0,54,0,0,0,1,1
0,0,0,0,0,55,0,0,0,0,2
0,0,0,0,0,56,0,0,0,0,2
0,0,0,0,0,56,0,0,1,0,1
0,0,0,0,0,57,0,0,0,0,1
0,0,0,0,0,57,1,0,0,0,1
0,0,0,0,0,58,0,0,0,0,4
0,0,0,0,0,59,0,0,0,1,1
0,0,0,0,0,59,0,1,0,0,1
0,0,0,0,0,6,0,44,0,0,1
0,0,0,0,0,6,0,47,0,0,1
0,0,0,0,0,61,0,0,0,0,1
0,0,0,0,0,63,0,0,0,0,1
0,0,0,0,0,7,42,0,1,0,1
0,0,0,0,0,8,0,45,0,1,1
0,0,0,0,0,9,0,43,0,0,1
0,0,0,0,1,0,0,0,0,49,8
0,0,0,0,1,0,0,0,0,50,8
0,0,0,0,1,0,0,0,0,51,4
0,0,0,0,1,0,0,0,0,52,1
0,0,0,0,1,0,0,0,1,49,1
0,0,0,0,1,0,0,0,44,5,1
0,0,0,0,1,0,0,0,48,1,2
0,0,0,0,1,0,0,0,49,0,8
0,0,0,0,1,0,0,0,50,0,7
0,0,0,0,1,0,0,0,51,0,7
0,0,0,0,1,0,0,0,52,0,1
0,0,0,0,1,0,0,0,56,0,1
0,0,0,0,1,0,0,0,58,0,1
0,0,0,0,1,0,0,1,49,0,1
0,0,0,0,1,0,0,48,0,1,1
0,0,0,0,1,0,0,49,0,0,30
0,0,0,0,1,0,0,49,0,1,1
0,0,0,0,1,0,0,50,0,0,48
0,0,0,0,1,0,0,50,0,1,1
0,0,0,0,1,0,0,51,0,0,23
0,0,0,0,1,0,0,51,0,1,1
0,0,0,0,1,0,0,51,1,0,1
0,0,0,0,1,0,0,52,0,0,12
0,0,0,0,1,0,0,53,0,0,3
0,0,0,0,1,0,0,54,0,0,3
0,0,0,0,1,0,0,55,0,0,1
0,0,0,0,1,0,0,56,0,0,1
0,0,0,0,1,0,0,57,0,0,1
0,0,0,0,1,0,0,58,0,0,1
0,0,0,0,1,0,1,0,0,50,1
0,0,0,0,1,0,1,48,0,0,1
0,0,0,0,1,0,1,50,0,0,2
0,0,0,0,1,0,2,48,0,0,1
0,0,0,0,1,0,48,1,0,0,4
0,0,0,0,1,0,49,0,0,0,8
0,0,0,0,1,0,5,0,45,0,1
0,0,0,0,1,0,50,0,0,0,15
0,0,0,0,1,0,51,0,0,0,10
0,0,0,0,1,0,52,0,0,0,5
0,0,0,0,1,0,53,0,0,0,1
0,0,0,0,1,0,57,0,0,0,1
0,0,0,0,1,0,58,0,0,0,1
0,0,0,0,1,1,0,47,0,1,1
0,0,0,0,1,1,0,48,0,0,10
0,0,0,0,1,1,0,48,0,1,1
0,0,0,0,1,1,0,48,1,0,1
0,0,0,0,1,1,0,49,0,0,5
0,0,0,0,1,1,0,49,1,0,1
0,0,0,0,1,1,0,50,0,0,2
0,0,0,0,1,1,0,51,0,0,1
0,0,0,0,1,1,0,53,0,0,1
0,0,0,0,1,1,48,0,0,0,1
0,0,0,0,1,1,50,0,0,0,1
0,0,0,0,1,1,51,0,0,0,1
0,0,0,0,1,2,0,46,0,1,1
0,0,0,0,1,2,0,48,0,0,1
0,0,0,0,1,3,0,47,0,0,1
0,0,0,0,1,46,0,3,0,0,1
0,0,0,0,1,47,0,1,1,0,1
0,0,0,0,1,48,0,0,1,0,1
0,0,0,0,1,48,1,0,0,0,2
0,0,0,0,1,48,2,0,0,0,1
0,0,0,0,1,49,0,0,0,0,9
0,0,0,0,1,49,0,1,0,0,1
0,0,0,0,1,49,1,0,0,0,1
0,0,0,0,1,49,1,1,0,1,1
0,0,0,0,1,5,0,45,0,0,1
0,0,0,0,1,50,0,0,0,0,11
0,0,0,0,1,50,0,1,0,0,1
0,0,0,0,1,50,1,0,0,0,2
0,0,0,0,1,51,0,0,0,0,8
0,0,0,0,1,51,0,0,0,1,1
0,0,0,0,1,52,0,0,0,0,3
0,0,0,0,1,53,0,0,0,0,1
0,0,0,0,12,1,0,38,0,0,1
0,0,0,0,12,1,0,40,0,0,1
0,0,0,0,13,0,0,37,0,0,1
0,0,0,0,13,33,0,4,0,0,1
0,0,0,0,14,35,0,0,1,0,1
0,0,0,0,14,36,0,1,0,0,1
0,0,0,0,15,1,0,34,0,1,1
0,0,0,0,18,0,0,33,0,0,1
0,0,0,0,19,0,0,34,0,0,1
0,0,0,0,2,0,0,48,0,0,5
0,0,0,0,2,0,0,48,0,2,1
0,0,0,0,2,0,0,49,0,0,5
0,0,0,0,2,0,0,50,0,0,5
0,0,0,0,2,0,0,50,0,1,1
0,0,0,0,2,0,0,53,0,2,1
0,0,0,0,2,0,1,49,0,0,3
0,0,0,0,2,0,47,0,1,0,1
0,0,0,0,2,0,48,0,0,0,3
0,0,0,0,2,0,49,0,0,0,2
0,0,0,0,2,0,50,1,0,0,1
0,0,0,0,2,1,0,47,0,0,1
0,0,0,0,2,1,0,48,0,0,2
0,0,0,0,2,1,1,47,1,0,1
0,0,0,0,2,11,0,38,0,0,1
0,0,0,0,2,2,0,47,0,0,1
0,0,0,0,2,3,0,46,0,0,1
0,0,0,0,2,45,1,2,0,0,1
0,0,0,0,2,47,0,2,0,0,1
0,0,0,0,2,48,0,0,0,0,1
0,0,0,0,2,48,1,0,0,0,1
0,0,0,0,2,49,1,0,0,0,1
0,0,0,0,20,0,0,30,0,0,1
0,0,0,0,21,9,1,19,1,0,1
0,0,0,0,23,0,0,29,0,0,1
0,0,0,0,23,1,1,26,0,0,1
0,0,0,0,24,0,0,28,0,0,1
0,0,0,0,24,2,0,26,0,0,1
0,0,0,0,25,0,0,26,0,0,1
0,0,0,0,27,0,0,23,0,0,1
0,0,0,0,27,21,0,3,0,0,1
0,0,0,0,27,5,0,20,0,0,1
0,0,0,0,28,1,0,23,0,0,1
0,0,0,0,29,0,0,21,0,0,1
0,0,0,0,3,0,0,47,0,0,1
0,0,0,0,3,0,0,48,0,0,2
0,0,0,0,3,0,0,49,0,0,2
0,0,0,0,3,0,48,0,0,0,1
0,0,0,0,3,2,0,45,1,0,1
0,0,0,0,3,3,0,44,0,1,1
0,0,0,0,3,46,1,1,0,0,1
0,0,0,0,3,5,43,1,0,0,1
0,0,0,0,3,7,0,40,0,0,1
0,0,0,0,30,1,0,20,0,0,1
0,0,0,0,31,6,0,14,0,0,1
0,0,0,0,33,1,0,15,1,0,1
0,0,0,0,33,1,2,16,0,0,1
0,0,0,0,33,12,0,6,0,0,1
0,0,0,0,34,1,0,15,1,0,1
0,0,0,0,34,4,0,12,0,1,1
0,0,0,0,34,9,0,7,0,1,1
0,0,0,0,36,0,0,15,0,0,1
0,0,0,0,36,1,0,13,0,0,1
0,0,0,0,36,13,0,3,0,0,1
0,0,0,0,37,0,0,13,0,0,1
0,0,0,0,37,0,0,14,0,0,1
0,0,0,0,37,2,0,11,0,0,1
0,0,0,0,38,0,0,13,0,0,1
0,0,0,0,38,0,0,14,0,0,1
0,0,0,0,38,7,0,6,0,0,1
0,0,0,0,39,0,0,11,0,0,1
0,0,0,0,39,3,0,8,0,0,1
0,0,0,0,39,4,0,8,0,0,1
0,0,0,0,39,7,0,4,0,0,1
0,0,0,0,4,0,0,49,0,1,1
0,0,0,0,4,1,0,49,1,0,1
0,0,0,0,40,0,0,11,0,0,1
0,0,0,0,40,1,0,10,0,0,1
0,0,0,0,40,1,0,11,0,0,3
0,0,0,0,40,11,0,0,0,0,1
0,0,0,0,40,3,0,8,0,0,1
0,0,0,0,41,0,0,8,0,1,1
0,0,0,0,41,0,9,0,0,0,1
0,0,0,0,41,4,0,5,0,1,1
0,0,0,0,41,4,0,6,0,0,1
0,0,0,0,41,7,1,2,0,0,1
0,0,0,0,42,0,0,9,0,0,1
0,0,0,0,42,1,0,7,0,0,1
0,0,0,0,42,2,0,8,0,0,1
0,0,0,0,42,3,0,6,0,0,1
0,0,0,0,42,5,1,1,0,1,1
0,0,0,0,42,8,1,0,0,0,1
0,0,0,0,43,0,0,11,0,0,1
0,0,0,0,43,0,0,8,0,0,1
0,0,0,0,43,0,0,8,1,0,1
0,0,0,0,43,0,0,9,0,0,1
0,0,0,0,43,5,0,2,0,0,1
0,0,0,0,44,0,0,6,0,0,2
0,0,0,0,44,1,1,6,0,0,1
0,0,0,0,44,3,0,4,0,0,1
0,0,0,0,44,5,0,1,0,0,1
0,0,0,0,44,6,0,0,0,0,1
0,0,0,0,44,6,1,0,0,0,1
0,0,0,0,44,7,0,0,0,0,1
0,0,0,0,45,0,0,5,0,0,1
0,0,0,0,45,0,0,6,0,0,2
0,0,0,0,45,1,0,4,1,0,1
0,0,0,0,45,1,0,5,0,0,1
0,0,0,0,45,1,0,6,0,0,1
0,0,0,0,45,1,0,8,0,0,1
0,0,0,0,45,2,0,3,0,0,1
0,0,0,0,45,2,0,4,0,0,1
0,0,0,0,45,2,1,2,0,1,1
0,0,0,0,45,3,1,1,1,0,1
0,0,0,0,45,4,0,2,0,0,1
0,0,0,0,45,6,0,0,0,0,1
0,0,0,0,46,0,0,4,0,0,7
0,0,0,0,46,0,0,5,0,0,1
0,0,0,0,46,0,0,6,0,0,1
0,0,0,0,46,0,5,1,0,0,1
0,0,0,0,46,1,0,6,0,0,1
0,0,0,0,46,2,1,2,0,0,1
0,0,0,0,46,4,0,0,0,0,1
0,0,0,0,46,4,0,1,0,0,2
0,0,0,0,47,0,0,2,1,0,1
0,0,0,0,47,0,0,3,0,0,3
0,0,0,0,47,0,0,4,0,0,3
0,0,0,0,47,0,0,4,0,1,1
0,0,0,0,47,0,2,3,0,0,1
0,0,0,0,47,1,0,1,2,0,1
0,0,0,0,47,1,0,2,0,0,3
0,0,0,0,47,1,0,2,0,1,2
0,0,0,0,47,1,0,3,0,0,2
0,0,0,0,47,1,1,1,0,0,1
0,0,0,0,47,2,0,1,0,0,1
0,0,0,0,47,2,0,2,0,0,1
0,0,0,0,47,2,0,3,0,0,1
0,0,0,0,47,3,0,0,0,0,1
0,0,0,0,47,4,0,0,0,0,1
0,0,0,0,48,0,0,1,1,0,2
0,0,0,0,48,0,0,2,0,0,7
0,0,0,0,48,0,0,2,0,1,1
0,0,0,0,48,0,0,3,0,0,3
0,0,0,0,48,0,0,4,0,0,3
0,0,0,0,48,0,0,5,0,0,1
0,0,0,0,48,0,1,0,0,1,1
0,0,0,0,48,0,1,1,0,0,3
0,0,0,0,48,0,2,0,0,0,1
0,0,0,0,48,0,2,0,1,0,1
0,0,0,0,48,0,2,1,0,0,1
0,0,0,0,48,0,3,0,0,0,2
0,0,0,0,48,1,0,0,0,1,1
0,0,0,0,48,1,0,1,0,0,3
0,0,0,0,48,1,0,2,0,0,3
0,0,0,0,48,1,0,3,0,0,1
0,0,0,0,48,1,0,4,0,0,1
0,0,0,0,48,1,1,2,0,0,1
0,0,0,0,48,1,2,0,0,0,2
0,0,0,0,48,2,0,0,0,0,4
0,0,0,0,48,2,0,1,0,1,1
0,0,0,0,48,2,1,0,0,0,1
0,0,0,0,48,3,0,0,0,0,1
0,0,0,0,48,3,0,0,0,1,1
0,0,0,0,48,3,0,2,0,0,1
0,0,0,0,48,4,0,0,0,0,3
0,0,0,0,49,0,0,0,0,1,2
0,0,0,0,49,0,0,0,1,0,1
0,0,0,0,49,0,0,1,0,0,18
0,0,0,0,49,0,0,1,0,1,1
0,0,0,0,49,0,0,1,1,0,1
0,0,0,0,49,0,0,2,0,0,7
0,0,0,0,49,0,0,3,0,0,2
0,0,0,0,49,0,0,4,0,0,1
0,0,0,0,49,0,1,1,0,0,4
0,0,0,0,49,0,2,0,0,0,2
0,0,0,0,49,1,0,0,0,0,12
0,0,0,0,49,1,0,0,0,1,2
0,0,0,0,49,1,0,0,1,0,1
0,0,0,0,49,1,0,1,0,0,4
0,0,0,0,49,1,0,2,0,0,1
0,0,0,0,49,1,1,1,0,0,1
0,0,0,0,49,2,0,0,0,0,1
0,0,0,0,49,2,0,1,0,0,3
0,0,0,0,49,3,0,0,0,0,1
0,0,0,0,5,0,45,0,0,0,1
0,0,0,0,5,5,0,41,0,0,1
0,0,0,0,5,5,0,44,0,0,1
0,0,0,0,50,0,0,0,0,0,60
0,0,0,0,50,0,0,0,0,1,2
0,0,0,0,50,0,0,0,1,0,3
0,0,0,0,50,0,0,1,0,0,25
0,0,0,0,50,0,0,1,0,1,1
0,0,0,0,50,0,0,2,0,0,8
0,0,0,0,50,0,0,3,0,0,3
0,0,0,0,50,0,1,0,0,0,7
0,0,0,0,50,0,1,1,0,0,3
0,0,0,0,50,0,2,0,0,0,1
0,0,0,0,50,1,0,0,0,0,8
0,0,0,0,50,1,0,0,0,1,1
0,0,0,0,50,1,0,1,0,0,7
0,0,0,0,50,1,0,2,0,0,1
0,0,0,0,50,1,0,3,0,0,1
0,0,0,0,50,2,0,0,0,0,1
0,0,0,0,50,2,0,1,1,0,1
0,0,0,0,50,2,0,2,0,0,1
0,0,0,0,51,0,0,0,0,0,70
0,0,0,0,51,0,0,0,0,1,1
0,0,0,0,51,0,0,0,1,0,3
0,0,0,0,51,0,0,0,1,1,1
0,0,0,0,51,0,0,1,0,0,24
0,0,0,0,51,0,0,1,1,0,1
0,0,0,0,51,0,0,2,0,0,2
0,0,0,0,51,0,1,0,0,0,3
0,0,0,0,51,1,0,0,0,0,7
0,0,0,0,51,1,1,0,0,0,1
0,0,0,0,51,2,0,0,0,0,1
0,0,0,0,52,0,0,0,0,0,53
0,0,0,0,52,0,0,0,1,0,1
0,0,0,0,52,0,0,1,0,0,12
0,0,0,0,52,0,1,0,0,0,2
0,0,0,0,52,1,0,0,0,0,4
0,0,0,0,52,1,0,1,0,0,3
0,0,0,0,53,0,0,0,0,0,24
0,0,0,0,53,0,0,1,0,0,3
0,0,0,0,53,1,0,0,0,0,2
0,0,0,0,54,0,0,0,0,0,7
0,0,0,0,54,1,0,0,0,0,1
0,0,0,0,55,0,1,1,0,0,1
0,0,0,0,56,0,0,2,0,0,1
0,0,0,0,57,0,0,0,0,0,2
0,0,0,0,57,0,0,2,0,0,1
0,0,0,0,58,0,0,0,0,0,3
0,0,0,0,6,0,0,45,0,0,1
0,0,0,0,6,2,0,42,0,0,1
0,0,0,0,6,2,42,1,0,0,1
0,0,0,0,6,3,0,43,0,0,1
0,0,0,0,6,45,0,1,0,0,1
0,0,0,0,6,5,0,43,0,0,1
0,0,0,0,61,0,0,0,0,0,1
0,0,0,0,7,0,0,44,0,0,1
0,0,0,0,7,1,0,43,0,0,1
0,0,0,0,9,3,0,39,0,0,1
0,0,0,1,0,0,0,0,0,49,4
0,0,0,1,0,0,0,0,0,50,8
0,0,0,1,0,0,0,0,0,51,2
0,0,0,1,0,0,0,0,0,53,1
0,0,0,1,0,0,0,0,1,49,1
0,0,0,1,0,0,0,0,1,51,2
0,0,0,1,0,0,0,0,1,55,1
0,0,0,1,0,0,0,0,49,0,4
0,0,0,1,0,0,0,0,49,1,2
0,0,0,1,0,0,0,0,49,2,1
0,0,0,1,0,0,0,0,50,0,5
0,0,0,1,0,0,0,0,51,0,10
0,0,0,1,0,0,0,0,51,1,1
0,0,0,1,0,0,0,0,53,0,2
0,0,0,1,0,0,0,49,0,0,9
0,0,0,1,0,0,0,49,1,0,1
0,0,0,1,0,0,0,50,0,0,9
0,0,0,1,0,0,0,51,0,0,4
0,0,0,1,0,0,0,52,0,0,7
0,0,0,1,0,0,0,56,0,0,1
0,0,0,1,0,0,1,0,49,0,1
0,0,0,1,0,0,1,0,50,0,1
0,0,0,1,0,0,48,0,0,1,1
0,0,0,1,0,0,48,1,0,0,1
0,0,0,1,0,0,49,0,0,0,10
0,0,0,1,0,0,49,0,0,1,1
0,0,0,1,0,0,50,0,0,0,15
0,0,0,1,0,0,50,1,0,0,1
0,0,0,1,0,0,51,0,0,0,13
0,0,0,1,0,0,51,0,0,1,1
0,0,0,1,0,0,52,0,0,0,5
0,0,0,1,0,0,53,0,0,0,4
0,0,0,1,0,0,56,0,0,0,2
0,0,0,1,0,0,58,0,0,0,1
0,0,0,1,0,1,0,0,0,48,1
0,0,0,1,0,1,0,0,48,0,1
0,0,0,1,0,1,0,0,50,0,1
0,0,0,1,0,1,0,48,0,0,1
0,0,0,1,0,1,0,53,0,0,1
0,0,0,1,0,1,48,0,0,0,6
0,0,0,1,0,1,49,0,0,0,3
0,0,0,1,0,1,50,0,0,0,2
0,0,0,1,0,1,51,0,0,0,2
0,0,0,1,0,1,56,0,0,0,1
0,0,0,1,0,14,0,36,0,0,1
0,0,0,1,0,3,46,0,0,0,1
0,0,0,1,0,44,6,0,0,0,1
0,0,0,1,0,45,3,0,1,0,1
0,0,0,1,0,48,0,0,0,1,4
0,0,0,1,0,48,0,0,1,0,1
0,0,0,1,0,48,0,2,0,0,1
0,0,0,1,0,48,1,0,0,0,2
0,0,0,1,0,48,1,1,0,0,1
0,0,0,1,0,49,0,0,0,0,28
0,0,0,1,0,49,0,0,1,0,1
0,0,0,1,0,49,0,1,0,0,3
0,0,0,1,0,49,1,0,0,0,4
0,0,0,1,0,49,1,1,0,0,1
0,0,0,1,0,50,0,0,0,0,35
0,0,0,1,0,50,0,1,0,0,3
0,0,0,1,0,50,1,0,0,0,1
0,0,0,1,0,50,1,1,0,0,1
0,0,0,1,0,51,0,0,0,0,26
0,0,0,1,0,52,0,0,0,0,10
0,0,0,1,0,52,0,0,0,1,1
0,0,0,1,0,52,1,0,0,0,1
0,0,0,1,0,53,0,0,0,0,2
0,0,0,1,0,53,0,0,0,1,1
0,0,0,1,0,54,0,0,0,0,1
0,0,0,1,0,56,0,0,0,0,2
0,0,0,1,0,60,0,0,0,0,1
0,0,0,1,1,0,0,0,0,48,1
0,0,0,1,1,0,0,0,48,0,1
0,0,0,1,1,0,0,0,53,0,1
0,0,0,1,1,0,0,48,0,0,1
0,0,0,1,1,0,0,49,0,0,1
0,0,0,1,1,0,0,50,0,0,2
0,0,0,1,1,0,0,51,0,0,3
0,0,0,1,1,0,48,0,0,0,1
0,0,0,1,1,0,49,0,0,0,3
0,0,0,1,1,1,0,47,0,0,1
0,0,0,1,1,1,46,0,0,1,1
0,0,0,1,1,1,47,0,0,0,1
0,0,0,1,1,1,49,0,0,0,1
0,0,0,1,1,2,48,0,0,0,2
0,0,0,1,1,43,0,6,0,0,1
0,0,0,1,1,47,0,1,0,0,1
0,0,0,1,1,47,0,1,0,1,1
