"c","n","e"
1,4,0
2,55,43
0,10,15
10,15,0
1,4,0
0,81,19
3,2,0
0,4,1
2,53,45
20,5,0
1,13,11
0,4,1
10,90,0
1,4,0
1,7,17
0,24,1
2,15,83
0,3,2
84,16,0
18,75,7
6,81,13
0,3,2
0,18,7
4,19,77
1,4,0
1,4,0
1,3,21
98,2,0
0,1,24
0,3,2
24,1,0
0,5,0
34,62,4
9,13,3
53,45,2
3,56,41
0,25,0
16,75,9
4,1,0
0,6,19
0,0,5
0,90,10
87,12,1
0,0,5
2,6,92
0,2,3
1,4,0
0,4,1
0,3,2
0,15,10
77,21,2
14,11,75
7,15,3
5,0,20
57,43,0
1,84,15
0,85,15
1,4,0
0,5,0
1,68,31
0,13,87
1,89,10
0,23,2
0,2,3
2,3,0
10,78,12
1,32,67
0,2,3
11,26,63
1,8,16
3,36,61
0,3,2
1,22,2
7,2,91
1,18,81
0,1,24
12,85,3
0,24,1
0,2,3
0,19,6
0,6,94
4,21,0
0,2,3
0,20,5
2,2,1
0,21,4
0,0,5
1,20,4
0,5,0
0,3,2
3,19,3
2,16,7
14,11,0
1,24,0
1,4,0
2,3,0
8,17,0
16,12,72
0,2,23
1,88,11
0,3,2
3,21,1
1,81,18
35,65,0
0,1,4
17,8,0
0,24,1
2,49,49
4,1,0
5,11,9
22,77,1
1,82,17
0,6,19
14,11,0
1,3,1
0,5,0
9,16,0
0,5,0
0,0,5
1,24,75
3,2,0
8,17,0
81,17,2
0,1,24
3,93,4
2,26,72
2,2,21
7,24,69
47,53,0
2,22,1
0,19,6
1,35,64
5,0,0
1,4,0
1,19,5
18,80,2
0,3,2
4,81,15
1,23,1
0,2,3
2,45,53
1,24,0
3,2,0
1,13,11
14,11,0
1,75,24
1,24,0
5,42,53
18,7,0
8,91,1
89,11,0
60,40,0
0,0,5
0,5,0
0,0,5
5,24,71
93,7,0
0,4,1
2,2,1
0,5,0
0,36,64
0,6,19
4,26,70
5,0,0
0,4,1
1,21,3
2,50,48
3,1,1
5,0,0
0,22,3
0,3,22
7,87,6
1,7,92
0,18,7
1,82,17
19,6,0
15,83,2
0,4,1
4,86,10
2,3,0
0,5,0
14,11,0
0,47,53
1,4,0
2,94,4
0,5,0
13,12,0
59,33,8
15,4,6
81,19,0
4,13,8
6,11,8
0,18,7
5,74,21
73,27,0
2,8,15
8,17,0
2,91,7
0,1,4
1,3,1
2,23,0
63,37,0
0,1,4
10,83,7
11,14,0
0,0,5
5,51,44
1,18,6
0,4,1
6,46,48
23,2,0
1,4,0
22,2,1
0,0,5
0,5,0
89,11,0
0,4,1
5,0,0
3,94,3
0,17,8
25,74,1
5,10,10
0,5,0
22,3,0
2,3,0
4,21,0
1,10,14
0,0,5
19,6,0
0,55,45
0,1,4
4,1,0
14,64,22
28,65,7
0,2,3
0,3,22
5,0,0
87,11,2
1,4,0
0,4,1
0,4,1
0,21,4
0,13,12
2,29,69
0,0,25
1,77,22
0,1,4
0,3,2
13,48,39
0,2,3
0,0,5
2,3,0
16,5,4
9,16,0
0,5,0
37,55,8
19,6,0
2,1,97
1,22,2
0,21,4
0,17,8
0,3,2
0,62,38
9,85,6
0,5,0
0,22,3
0,4,1
2,28,70
4,0,1
0,4,1
24,1,0
5,0,0
6,67,27
29,18,53
0,0,5
3,2,0
1,52,47
78,22,0
3,22,0
24,1,0
4,1,0
8,70,22
23,2,0
59,27,14
1,2,97
0,4,1
1,18,81
5,0,0
1,4,0
3,2,20
3,1,1
0,4,1
12,13,0
0,14,11
2,3,0
0,0,5
1,22,2
11,6,8
1,82,17
1,43,56
0,1,4
0,21,4
0,3,22
1,22,2
1,3,1
2,3,0
7,90,3
0,18,7
18,6,1
0,0,5
5,20,0
23,2,0
3,2,0
2,23,0
0,5,0
6,12,7
0,3,2
0,0,25
99,1,0
5,0,0
1,7,17
0,4,1
2,36,62
16,9,0
0,4,1
0,3,2
0,5,0
5,20,0
0,4,1
0,4,1
84,16,0
0,4,1
1,18,6
32,67,1
0,96,4
1,68,31
0,3,97
1,46,53
27,68,5
1,1,98
1,50,49
0,4,1
0,64,36
1,4,0
1,24,0
98,0,2
5,50,45
1,88,11
3,52,45
0,36,64
43,42,15
5,0,0
1,4,0
67,33,0
0,12,13
0,12,13
24,1,0
5,78,17
8,70,22
17,80,3
1,24,0
1,58,41
0,0,5
4,1,0
1,29,70
0,0,5
0,5,0
0,0,5
14,81,5
23,77,0
1,80,19
0,5,0
14,27,59
0,2,3
4,2,19
0,5,20
1,4,0
0,5,0
97,1,2
2,1,22
0,13,12
1,4,0
1,75,24
51,46,3
0,4,1
2,14,84
7,5,88
69,30,1
0,5,0
0,3,97
3,22,0
0,2,3
0,2,23
19,5,1
6,13,6
1,21,3
1,9,15
0,4,1
15,9,1
1,15,84
1,77,22
2,1,2
0,1,24
0,8,17
16,9,0
8,12,5
2,18,5
1,21,3
0,4,1
0,37,63
33,67,0
0,5,0
1,3,1
5,95,0
65,35,0
4,1,0
19,6,0
0,0,25
4,1,0
0,21,4
0,4,1
72,25,3
1,12,12
57,43,0
84,13,3
2,3,0
0,5,0
4,84,12
4,21,0
0,4,1
23,2,0
20,56,24
14,86,0
0,3,2
5,0,0
24,1,0
3,22,0
6,19,0
7,58,35
5,0,0
0,20,5
0,5,0
0,93,7
6,19,0
0,4,1
1,7,17
0,25,0
3,71,26
19,5,1
0,22,3
0,0,25
37,63,0
0,18,7
3,19,3
24,1,0
0,51,49
20,5,0
77,23,0
0,5,0
0,20,5
1,20,4
98,2,0
0,2,3
0,5,0
3,2,0
0,7,18
0,4,1
0,0,5
0,65,35
0,1,4
0,0,5
1,22,77
56,36,8
0,23,2
19,6,0
65,1,34
0,3,2
0,5,20
20,5,0
0,4,1
4,1,0
0,5,0
6,46,48
6,19,0
0,5,0
2,3,0
3,2,0
1,1,3
2,7,16
22,2,1
4,94,2
25,0,0
10,13,2
0,5,0
25,63,12
3,1,1
0,3,2
83,16,1
1,7,17
0,0,5
0,44,56
0,77,23
0,5,0
0,27,73
2,84,14
0,4,1
0,0,5
0,5,0
2,76,22
0,2,3
0,0,5
2,50,48
0,3,2
3,96,1
0,4,1
1,23,1
1,4,0
0,21,4
22,3,0
19,79,2
0,9,16
3,95,2
0,20,5
2,3,0
0,3,2
0,71,29
0,22,3
0,24,1
0,1,4
9,90,1
0,14,11
9,53,38
0,0,5
0,5,0
2,2,1
0,12,88
0,25,0
4,1,0
2,23,0
0,1,4
0,0,25
0,45,55
13,12,0
0,7,18
42,58,0
0,5,20
4,0,1
16,9,0
7,82,11
7,70,23
0,53,47
4,1,0
1,23,1
15,10,0
1,2,2
3,56,41
17,8,0
4,1,0
8,17,0
3,80,17
2,3,0
2,23,0
69,31,0
0,0,5
0,4,1
24,1,0
13,85,2
0,20,5
25,0,0
0,1,4
3,1,1
0,0,25
0,16,9
1,23,1
34,66,0
0,1,4
20,66,14
0,3,2
0,22,3
0,92,8
2,3,0
0,9,16
0,23,2
18,41,41
2,46,52
16,3,6
0,22,3
0,5,0
1,4,0
13,87,0
0,2,3
50,50,0
0,3,2
3,2,0
5,0,0
2,2,1
3,22,75
1,4,0
0,0,5
0,89,11
1,15,84
0,96,4
2,16,82
0,5,0
1,24,75
0,9,16
0,22,3
0,5,0
0,25,0
2,0,23
0,0,25
19,21,60
4,1,0
9,12,4
0,16,9
4,21,0
3,4,18
84,15,1
0,5,0
1,2,97
2,11,87
16,80,4
1,4,0
1,92,7
0,91,9
49,43,8
0,24,76
5,0,0
0,0,25
0,1,4
0,14,11
0,83,17
4,1,0
4,20,1
0,1,4
2,3,0
1,8,16
3,73,24
1,24,0
1,4,0
0,23,2
0,100,0
0,2,3
0,22,3
0,39,61
0,1,4
21,3,76
0,2,3
18,2,80
4,1,0
0,4,1
1,4,0
3,17,5
1,28,71
0,5,0
0,5,20
82,16,2
8,17,0
0,53,47
0,69,31
1,74,25
1,4,0
0,13,12
82,18,0
3,64,33
2,3,0
0,2,3
7,18,0
15,56,29
7,15,78
0,0,5
1,4,0
0,0,5
0,2,3
0,1,4
0,4,96
9,23,68
33,67,0
5,93,2
8,91,1
0,3,2
41,59,0
1,11,13
17,8,0
1,94,5
60,38,2
0,1,4
0,2,3
0,4,1
4,72,24
2,98,0
1,22,77
4,1,0
0,5,0
0,3,22
3,88,9
0,4,1
16,9,0
0,8,17
2,2,96
4,1,0
0,54,46
27,73,0
2,3,0
9,88,3
1,6,18
39,60,1
1,6,93
0,92,8
0,5,0
0,12,13
1,1,3
1,23,1
4,1,0
1,18,6
0,17,8
0,55,45
6,19,0
0,0,5
3,56,41
0,22,3
1,4,0
0,10,90
0,7,93
0,4,1
90,10,0
0,5,0
0,17,8
3,52,45
0,1,4
3,5,17
1,73,26
0,29,71
7,27,66
25,75,0
3,2,0
0,15,10
1,2,97
0,15,10
0,0,100
0,5,0
0,23,2
5,93,2
0,5,0
1,21,3
2,1,2
5,0,0
22,1,2
3,12,10
0,4,1
1,0,99
20,4,1
4,1,0
1,20,4
14,11,0
4,0,1
0,92,8
0,1,24
21,4,0
0,2,3
0,5,0
8,17,0
4,1,0
4,88,8
9,89,2
5,0,0
15,10,0
1,89,10
1,2,2
3,2,0
0,4,96
0,50,50
14,11,0
0,25,0
6,5,89
1,4,0
4,21,0
0,16,9
40,40,20
0,5,0
0,1,24
100,0,0
7,18,0
19,5,1
21,78,1
22,3,0
3,81,16
0,4,96
0,0,5
24,1,0
0,5,0
25,0,0
0,12,13
0,97,3
0,2,3
2,94,4
0,1,4
1,24,0
25,75,0
0,16,9
1,0,4
0,2,3
7,18,0
4,71,25
47,51,2
0,0,5
1,82,17
0,1,4
0,76,24
2,5,18
0,3,2
1,63,36
1,0,4
0,5,0
5,0,0
44,56,0
24,1,0
4,21,0
2,61,37
4,7,14
62,38,0
0,79,21
4,1,0
1,7,17
0,4,21
2,65,33
0,85,15
0,1,4
4,88,8
0,23,2
1,1,3
0,0,5
1,15,84
12,13,0
1,85,14
2,3,0
2,3,0
0,25,0
0,17,8
1,2,2
19,6,0
36,64,0
23,2,0
0,5,0
0,17,83
1,11,88
1,27,72
0,4,1
26,16,58
1,83,16
0,23,2
69,1,30
1,17,7
0,94,6
84,14,2
0,1,4
0,0,5
0,14,11
11,14,0
16,1,8
0,3,2
0,0,25
0,0,5
54,45,1
5,0,0
0,2,3
0,3,22
0,7,18
2,0,3
2,1,22
2,3,0
0,0,5
2,34,64
1,84,15
0,96,4
1,0,4
0,36,64
25,0,0
1,34,65
7,72,21
2,3,0
0,0,25
0,3,22
31,68,1
0,24,1
2,40,58
0,23,77
20,5,0
0,2,3
0,1,4
17,8,0
2,97,1
0,23,2
20,5,0
2,23,0
1,14,10
22,3,0
91,6,3
25,75,0
3,2,0
90,10,0
0,5,0
37,60,3
0,24,1
0,1,24
4,1,0
2,3,0
22,65,13
1,63,36
0,3,2
0,1,4
0,5,0
92,4,4
0,25,75
2,1,2
0,5,0
0,76,24
0,1,24
1,0,24
75,25,0
0,13,12
0,25,0
6,4,15
23,58,19
5,0,0
0,1,4
0,1,4
1,4,0
0,6,19
0,5,0
0,5,0
1,29,70
5,19,1
0,2,3
5,66,29
90,9,1
0,4,1
13,1,11
2,3,0
1,96,3
36,64,0
0,3,2
0,5,0
29,66,5
0,21,4
2,76,22
10,14,1
2,21,2
0,0,5
0,19,6
1,1,23
1,23,1
2,97,1
0,5,0
0,72,28
18,13,69
1,6,18
22,20,58
0,2,3
75,22,3
0,0,25
0,5,0
0,1,4
0,9,91
0,1,24
0,20,5
1,16,83
74,26,0
0,1,4
0,55,45
5,11,9
0,96,4
17,8,0
4,9,12
2,3,0
21,1,3
0,0,5
6,94,0
4,1,0
6,19,0
1,1,23
0,55,45
3,58,39
6,19,0
12,1,12
0,3,2
5,19,1
0,3,2
1,39,60
0,0,5
1,3,1
1,4,0
3,2,0
1,4,0
0,21,4
0,17,8
0,2,3
0,3,2
1,77,22
22,3,0
53,35,12
0,20,80
0,0,5
0,2,23
3,21,1
0,5,0
0,24,1
0,23,2
1,4,0
0,2,3
0,5,0
2,76,22
0,5,0
3,21,1
2,25,73
25,0,0
3,19,78
2,17,6
0,19,6
0,17,8
0,0,5
59,41,0
9,91,0
0,3,2
0,1,4
0,22,3
0,19,6
0,87,13
94,6,0
4,7,89
0,0,5
0,5,0
0,22,3
1,97,2
5,53,42
0,60,40
0,23,2
0,18,7
0,0,5
13,12,0
2,86,12
0,5,0
2,6,17
0,1,99
54,46,0
59,31,10
1,17,7
37,31,32
18,7,0
0,15,10
1,86,13
0,44,56
0,5,95
0,5,0
23,2,0
2,16,82
80,15,5
0,5,0
0,3,2
68,24,8
0,89,11
0,20,5
0,3,2
1,5,19
0,1,4
16,9,0
0,13,87
0,20,5
2,3,0
0,5,0
10,10,5
1,87,12
0,1,4
0,3,22
0,24,1
1,79,20
1,4,0
1,92,7
21,4,0
0,0,25
1,3,21
2,3,0
1,0,4
39,61,0
0,5,0
0,2,3
1,12,87
1,0,24
13,87,0
22,3,0
0,3,2
1,4,0
52,46,2
0,16,9
2,10,13
4,21,0
0,92,8
0,2,3
0,0,100
3,2,0
4,1,0
10,90,0
6,6,88
11,14,0
1,88,11
0,0,5
0,0,5
0,5,0
64,36,0
0,2,3
0,86,14
88,10,2
13,12,0
0,19,6
17,81,2
5,0,0
1,14,10
0,22,3
88,10,2
0,0,5
1,32,67
4,21,0
0,5,0
0,6,19
21,4,0
0,20,5
7,18,0
0,4,1
3,38,59
0,0,5
0,22,3
7,10,8
5,0,0
3,2,0
2,9,14
0,5,0
24,1,0
0,5,0
3,20,2
10,15,0
7,8,10
2,3,0
6,16,3
0,10,15
7,47,46
10,11,4
72,26,2
69,30,1
16,83,1
0,34,66
4,96,0
0,13,12
74,26,0
0,3,2
79,20,1
26,65,9
16,83,1
5,0,0
0,3,2
4,0,1
21,4,0
88,10,2
0,1,4
1,21,3
5,88,7
10,15,0
1,23,1
0,14,11
3,2,0
0,4,1
94,5,1
8,20,72
0,23,2
0,3,22
1,0,99
0,2,3
12,28,60
0,81,19
2,3,0
0,33,67
25,0,0
0,1,24
0,24,1
0,0,5
0,2,3
0,1,4
3,22,0
3,0,2
0,2,3
1,2,2
0,1,4
1,4,0
0,37,63
63,33,4
0,0,100
1,0,99
0,5,0
1,0,99
2,6,92
1,4,0
0,4,1
2,22,1
0,10,15
4,0,1
5,0,0
6,19,0
5,0,0
2,3,0
7,18,0
0,84,16
2,23,0
0,50,50
0,5,0
1,91,8
16,82,2
8,90,2
0,2,98
0,0,5
57,43,0
0,0,5
0,39,61
0,2,23
0,24,1
7,18,0
16,54,30
2,21,2
29,63,8
0,14,11
1,41,58
1,18,6
4,1,0
18,7,0
2,15,8
0,5,95
0,0,5
49,51,0
1,63,36
0,4,1
1,4,0
0,7,18
3,2,0
2,4,19
2,20,3
5,0,0
0,1,4
0,25,0
2,14,9
5,0,0
0,20,80
0,7,18
0,16,9
0,19,6
11,14,0
0,5,0
0,16,9
0,4,1
0,4,1
0,16,9
0,88,12
4,21,0
0,1,24
65,6,29
48,41,11
20,32,48
2,12,11
0,52,48
1,24,0
19,5,1
1,75,24
10,90,0
13,12,0
0,22,3
33,67,0
0,89,11
0,0,5
0,3,2
5,0,0
0,1,4
0,66,34
0,22,3
0,2,3
0,21,4
3,2,0
14,76,10
